"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"LOC101928651","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928661","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928663","WT","EX","NOTEST",0,0.0254241,Inf,0,1,1,"no"
"LOC101928673","WT","EX","NOTEST",0.349818,0.352961,0.0129056,0,1,1,"no"
"LOC101928674","WT","EX","NOTEST",0.154357,0.165573,0.101196,0,1,1,"no"
"LOC101928682","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928694","WT","EX","NOTEST",0.0233603,0.00917741,-1.3479,0,1,1,"no"
"LOC101928696","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928697","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928700","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928708","WT","EX","NOTEST",0,0.0123985,Inf,0,1,1,"no"
"LOC101928710","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928718","WT","EX","NOTEST",0,5.8224e-05,Inf,0,1,1,"no"
"LOC101928730","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928731","WT","EX","NOTEST",0.0205437,0.0484156,1.23678,0,1,1,"no"
"LOC101928737","WT","EX","NOTEST",0.0856838,0,-Inf,0,1,1,"no"
"LOC101928738","WT","EX","NOTEST",0,0.0171934,Inf,0,1,1,"no"
"LOC101928739","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928748","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928751","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928766","WT","EX","NOTEST",0.0131547,0.0167417,0.347867,0,1,1,"no"
"LOC101928767","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928769","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928775","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928778","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928782","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928786","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928790","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928791","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928794","WT","EX","NOTEST",0.205669,0.301072,0.549783,0,1,1,"no"
"LOC101928796","WT","EX","OK",0.938412,1.00981,0.105785,0.123513,0.82565,0.952822,"no"
"LOC101928797","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928804","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928809","WT","EX","NOTEST",0.0121602,0,-Inf,0,1,1,"no"
"LOC101928812","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928823","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928834","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928837","WT","EX","OK",0.397196,0.855465,1.10686,0.187097,0.4576,0.769554,"no"
"LOC101928841","WT","EX","NOTEST",0.0505555,0.0672215,0.411053,0,1,1,"no"
"LOC101928844","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928847","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928851","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928855","WT","EX","NOTEST",0,0.0119378,Inf,0,1,1,"no"
"LOC101928858","WT","EX","NOTEST",0.0117991,0.0497971,2.07738,0,1,1,"no"
"LOC101928861","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928865","WT","EX","NOTEST",0.0683662,0.0110488,-2.62939,0,1,1,"no"
"LOC101928880","WT","EX","NOTEST",0,0.133204,Inf,0,1,1,"no"
"LOC101928882","WT","EX","OK",2.77277,3.2748,0.240079,0.588455,0.30155,0.633059,"no"
"LOC101928885","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928886","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928891","WT","EX","OK",0.918718,1.62719,0.824686,0.907826,0.129,0.389022,"no"
"LOC101928894","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928896","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928909","WT","EX","NOTEST",0,0.0147608,Inf,0,1,1,"no"
"LOC101928911","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928936","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928937","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928940","WT","EX","NOTEST",0.00530463,0.0213922,2.01176,0,1,1,"no"
"LOC101928942","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928943","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928944","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928961","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC101928973","WT","EX","NOTEST",0.0330562,0,-Inf,0,1,1,"no"
"LOC101928977","WT","EX","NOTEST",0,0.0511989,Inf,0,1,1,"no"
"LOC101928978","WT","EX","NOTEST",0.00461537,0,-Inf,0,1,1,"no"
"LOC101928979","WT","EX","NOTEST",0.532626,0.30175,-0.819772,0,1,1,"no"
