"gene_id","rep_name","fpkm"
"ADAMTS5","EX_0",32.4667
"ADAMTS6","EX_0",0.942712
"ADAMTS7","EX_0",9.35089
"ADAMTS7P1","EX_0",0.00970859
"ADAMTS8","EX_0",97.1525
"ADAMTS9","EX_0",0.290243
"ADAMTS9-AS1","EX_0",0
"ADAMTS9-AS2","EX_0",0.217054
"ADAMTSL1","EX_0",3.87766
"ADAMTSL2","EX_0",0.0147835
"ADAMTSL3","EX_0",0.0362268
"ADAMTSL4","EX_0",45.384
"ADAMTSL4-AS1","EX_0",0.0643906
"ADAMTSL5","EX_0",5.75876
"ADAP1","EX_0",0.508693
"ADAP2","EX_0",0.120033
"ADAR","EX_0",32.1537
"ADARB1","EX_0",9.5022
"ADARB2","EX_0",0
"ADARB2-AS1","EX_0",0
"ADAT1","EX_0",2.87958
"ADAT2","EX_0",0.687595
"ADAT3","EX_0",1.6673
"ADCK1","EX_0",2.09674
"ADCK2","EX_0",6.93199
"ADCK3","EX_0",6.97415
"ADCK4","EX_0",6.82527
"ADCK5","EX_0",2.83744
"ADCY1","EX_0",1.69018
"ADCY10","EX_0",0.022155
"ADCY10P1","EX_0",0.21475
"ADCY2","EX_0",0.0593262
"ADCY3","EX_0",13.4311
"ADCY4","EX_0",0.519253
"ADCY5","EX_0",0.222786
"ADCY6","EX_0",12.408
"ADCY7","EX_0",2.36037
"ADCY8","EX_0",0
"ADCY9","EX_0",11.0076
"ADCYAP1","EX_0",0
"ADCYAP1R1","EX_0",0
"ADD1","EX_0",83.2105
"ADD2","EX_0",0
"ADD3","EX_0",75.1485
"ADD3-AS1","EX_0",0.601847
"ADGB","EX_0",0
"ADGRA1","EX_0",0
"ADGRA1-AS1","EX_0",0
"ADGRA2","EX_0",58.9767
"ADGRA3","EX_0",6.17887
"ADGRB1","EX_0",0
"ADGRB2","EX_0",2.63091
"ADGRB3","EX_0",0.0305548
"ADGRD1","EX_0",87.7274
"ADGRE1","EX_0",0.040952
"ADGRE2","EX_0",0.0189471
"ADGRE3","EX_0",0
"ADGRE4P","EX_0",0
"ADGRE5","EX_0",5.96417
"ADGRF1","EX_0",0
"ADGRF2","EX_0",0
"ADGRF3","EX_0",0.0529928
"ADGRF4","EX_0",0
"ADGRF5","EX_0",0
"ADGRG1","EX_0",0.207462
"ADGRG2","EX_0",0.140836
"ADGRG3","EX_0",0
"ADGRG4","EX_0",0
"ADGRG5","EX_0",0
"ADGRG6","EX_0",9.76211
"ADGRG7","EX_0",0
"ADGRL1","EX_0",2.80277
"ADGRL2","EX_0",20.9658
"ADGRL3","EX_0",0.00920996
"ADGRL3-AS1","EX_0",0
"ADGRL4","EX_0",2.08682
"ADGRV1","EX_0",0
"ADH1A","EX_0",0.116649
"ADH1B","EX_0",1168.28
"ADH1C","EX_0",1.20307
"ADH4","EX_0",0.060112
"ADH5","EX_0",161.904
"ADH6","EX_0",0.124288
"ADH7","EX_0",0.058185
"ADHFE1","EX_0",6.24938
"ADI1","EX_0",65.6856
"ADIG","EX_0",0
"ADIPOQ","EX_0",0
"ADIPOQ-AS1","EX_0",0
"ADIPOR1","EX_0",37.8609
"ADIPOR2","EX_0",14.5101
"ADIRF","EX_0",14.2006
"ADK","EX_0",13.3417
"ADM","EX_0",712.361
"ADM2","EX_0",0.168749
"ADM5","EX_0",0.109856
"ADNP","EX_0",12.3028
"ADNP-AS1","EX_0",0.675899
"ADNP2","EX_0",4.70409
"ADO","EX_0",5.79839
"ADORA1","EX_0",0.171635
"ADORA2A","EX_0",0.299413
"ADORA2A-AS1","EX_0",0.0920513
"ADORA2B","EX_0",1.59785
"ADORA3","EX_0",0
"ADPGK","EX_0",20.6186
"ADPGK-AS1","EX_0",0.0281368
"ADPRH","EX_0",1.3026
"ADPRHL1","EX_0",0.374424
"ADPRHL2","EX_0",11.7446
"ADPRM","EX_0",4.97212
"ADRA1A","EX_0",0
"ADRA1B","EX_0",9.44211
"ADRA1D","EX_0",0.104477
"ADRA2A","EX_0",0.197968
"ADRA2B","EX_0",0.0165178
"ADRA2C","EX_0",0.201808
"ADRB1","EX_0",0
"ADRB2","EX_0",0.0875356
"ADRB3","EX_0",0
"ADRBK1","EX_0",11.4794
"ADRBK2","EX_0",0.326788
"ADRM1","EX_0",49.6643
"ADSL","EX_0",18.905
"ADSS","EX_0",17.1808
"ADSSL1","EX_0",2.67029
"ADTRP","EX_0",0.032493
"AEBP1","EX_0",67.4446
"AEBP2","EX_0",7.5854
"AEN","EX_0",11.2642
"AES","EX_0",184.715
"AFAP1","EX_0",10.3569
"AFAP1-AS1","EX_0",0.0234864
"AFAP1L1","EX_0",8.2431
"AFAP1L2","EX_0",0.0399282
"AFF1","EX_0",6.05837
"AFF2","EX_0",0.0317736
"AFF3","EX_0",0.00669563
"AFF4","EX_0",17.2042
"AFG3L1P","EX_0",1.73372
"AFG3L2","EX_0",13.8568
"AFM","EX_0",0
"AFMID","EX_0",5.79852
"AFP","EX_0",0.0563688
"AFTPH","EX_0",6.13251
"AGA","EX_0",13.6903
"AGAP1","EX_0",5.14079
"AGAP1-IT1","EX_0",0
"AGAP11","EX_0",0.187043
"AGAP2","EX_0",0.0508335
"AGAP2-AS1","EX_0",14.4287
"AGAP3","EX_0",21.2067
"AGAP4","EX_0",0.56648
"AGAP5","EX_0",0.632398
"AGAP6","EX_0",2.81542
"AGAP7P","EX_0",0.110295
"AGAP9","EX_0",0.08714
"AGBL1","EX_0",0
"AGBL1-AS1","EX_0",0
"AGBL2","EX_0",0.335404
"AGBL3","EX_0",0.0501938
"AGBL4","EX_0",0
"AGBL4-IT1","EX_0",0
"AGBL5","EX_0",8.43676
"AGBL5-AS1","EX_0",0.238673
"AGER","EX_0",0.0417458
"AGFG1","EX_0",11.1739
"AGFG2","EX_0",1.48066
"AGGF1","EX_0",10.2128
"AGK","EX_0",5.40996
"AGL","EX_0",6.23611
"AGMAT","EX_0",0.170941
"AGMO","EX_0",0
"AGO1","EX_0",4.60636
"AGO2","EX_0",5.92036
"AGO3","EX_0",1.90563
"AGO4","EX_0",4.39515
"AGPAT1","EX_0",0.0681313
"AGPAT2","EX_0",22.2079
"AGPAT3","EX_0",14.0308
"AGPAT4","EX_0",2.03845
"AGPAT4-IT1","EX_0",0.532902
"AGPAT5","EX_0",2.75584
