"","V1","V2","V3","label"
"131",-152.231549811021,34.2045824621266,-83.4441717246549,"1"
"132",-106.21809179115,-35.9069305858704,108.396257949864,"2"
"133",-111.165093886339,14.7366904698562,78.0760182948597,"2"
"134",-133.478733137834,-59.9334502055944,-31.2246186175778,"0"
"135",-146.717804672898,21.9766592080427,-80.4848346985235,"1"
"136",-103.421557333136,18.6195524537155,56.8858703960351,"3"
"137",-143.819112838397,14.2618851470436,-64.2784244358899,"1"
"138",-134.642833167602,-17.4964625356891,-42.7607527621574,"0"
"139",-101.418886488518,8.14223155455987,108.069903758438,"2"
"140",-99.5361517573316,7.13319133617833,114.935407867666,"2"
"141",-96.2101689177258,9.33394224914421,60.4103376155454,"3"
"142",-95.1933065815337,38.0783997994366,58.3518613485772,"3"
"143",-97.2331014966545,48.3564408600131,47.795344167775,"3"
"144",-94.7056282120673,70.2975107170283,52.8207598294278,"3"
"145",-94.9192245489947,66.76975489245,42.2195695610814,"3"
"146",-128.57104837738,10.6481924551828,-49.8987871103935,"0"
"147",-126.298415521668,16.0311279115163,-50.3640505048315,"0"
"148",-128.51057635051,11.0279316658434,-59.0865086213805,"0"
"149",-92.885433747827,-2.06548126777126,114.135703172135,"2"
"150",-91.2801940178931,-8.45874397076023,116.318970765875,"2"
"151",-88.6735139583295,-2.84878292419961,124.363765134026,"2"
"152",-87.471692023386,26.1526948558565,50.5341745545066,"3"
"153",-89.6642656154206,51.1486834630342,93.2666400194108,"2"
"154",-88.3816906713622,44.2460394267486,83.2402143891199,"2"
"155",-88.6245743637683,51.1450965103082,95.1630263763682,"2"
"156",-85.2794312202741,31.0459511602344,110.289810354073,"2"
"157",-85.2334725512419,36.3103010701673,109.012077755604,"2"
"158",-83.3198332289459,30.476905971376,106.345066875221,"2"
"159",-84.1388601328273,22.9970300284253,96.596510229133,"2"
"160",-78.7728446149986,55.9862140721144,46.7105200215806,"3"
"161",-76.4382612349534,43.4742606648369,63.3447831015459,"3"
"162",-77.9591170998719,7.49904357342665,109.255327489737,"2"
"163",-110.186647821074,-15.4634351163518,-48.0660202757568,"0"
"164",-110.089817120408,-8.78987470066683,-52.4667173182072,"0"
"165",-74.6808727005177,73.8861669935957,47.895778963819,"3"
"166",-74.5095908466644,57.5334591926113,42.3794618152298,"3"
"167",-73.3900807028316,-0.126840551695739,118.016411429307,"2"
"168",-72.3444921956177,19.3318810557714,107.748708183076,"2"
"169",-71.6673832422322,17.5106045035408,116.177017183672,"2"
"170",-70.9880834969986,9.42460392816532,118.044897191876,"2"
"171",-72.0242831863627,15.254826804054,105.80112022031,"2"
"172",-72.2369898849163,10.5609311518438,110.264745329079,"2"
"173",-70.4196534628966,46.8664978890483,89.0012331880245,"2"
"174",-66.6500301936377,41.1128590299477,61.6106576696097,"3"
"175",-63.9702566257107,53.7767307542262,45.5736691466411,"3"
"176",-65.3327094314456,58.6141204887544,32.935232135675,"3"
"177",-65.8089950620677,79.488972814081,28.8304536448086,"3"
"178",-62.8733656677358,70.0077975505533,35.0233223525683,"3"
"179",-57.9644787117719,35.7706568332675,50.6491102910142,"3"
"180",-58.4736294702202,43.9362984382326,48.5857756752964,"3"
"181",-59.7305451995724,80.9202894794992,39.9121421684613,"3"
"182",-55.8664040782209,85.4671912467994,46.7289364806121,"3"
"183",-60.9606953209278,42.8837509362449,78.5538670242159,"2"
"184",-56.9921119433897,10.440516912535,111.318787787351,"2"
"185",-56.8824912433126,15.9570005613129,113.148123354916,"2"
"186",-54.7640172133167,85.8943121308416,37.5241535418915,"3"
"187",-54.4041827735989,62.480503510576,37.068009590977,"3"
"188",-51.4904065801607,45.6434445385974,47.5133222606034,"3"
"189",-54.4899942885616,0.902845888908365,92.2856852233106,"2"
"190",-51.7537440260588,14.617402933942,103.652277054892,"2"
"191",-50.9602846012669,8.02820166556413,116.329172287765,"2"
"192",-49.1094583862525,74.2253937614949,40.7253710843805,"3"
"193",-46.6640317328825,15.1729850815637,45.4751721844268,"3"
"194",-47.0231322180091,22.7506754734072,39.8329403167262,"3"
"195",-83.5588317405879,43.2187579648928,-72.2179419060767,"0"
"196",-81.8898856621159,28.7742592235113,-68.2911187674492,"0"
"197",-82.8978616728188,38.055505099594,-74.2739499973336,"0"
"198",-46.860429860124,25.6519485695753,91.6789439991864,"2"
"199",-80.7618748043026,17.1583340672336,-81.8006956593472,"0"
"200",-77.0420052375103,7.49816896277754,-67.0974897534387,"0"
"201",-78.6281515995057,32.3194651568172,-79.5757423598156,"0"
"202",-78.3402896152984,36.04082176944,-79.9094202458092,"0"
"203",-77.7139362885683,28.7745161285345,-76.4095398444308,"0"
"204",-73.7343611493739,44.0578913814885,-67.8039980306096,"0"
"205",-74.9349644272618,27.9771858213458,-72.2655397079435,"0"
"206",-72.1396666418078,22.7879338762203,-71.6024499603648,"0"
"207",-73.042315226323,23.6407896672042,-80.1268006860988,"0"
"208",-73.2782991021897,46.5754330074269,-81.8185783787665,"0"
"209",-70.9980152304754,30.7874786286513,-78.0572213122636,"0"
